sample	raw	trim.1	trim.2
P03_02_E	6639	5242	5026
P02_10_H	16130	15643	15470
P03_12_D	32067	31557	31553
P02_03_C	48506	46787	46658
P01_11_H	66200	65089	65059
P01_10_B	28546	26752	26459
P01_01_H	32657	29706	29522
P03_10_A	42067	41048	40925
P01_01_C	39671	37203	37060
P03_02_A	4756	3936	3777
P02_05_E	6866	6118	5616
P02_12_A	99617	98036	97842
P03_05_C	40834	40129	40102
P03_02_C	20390	19806	19757
P01_02_G	103805	101505	101470
P01_07_F	78691	74629	8753
P03_11_E	3951	3622	3489
P05_09_D	56330	55399	55357
P03_04_D	65615	64693	64684
P02_02_E	5490	4501	4346
P05_02_G	36108	35329	35313
P02_10_B	32766	31667	22337
P05_03_C	5726	5423	5407
P01_05_B	14863	11368	11113
P02_11_F	25663	24973	24945
P03_09_A	67381	66134	66070
P01_12_B	20542	19442	19419
P02_02_B	34740	33712	33684
P05_05_F	8788	8488	8476
P02_06_A	16197	14246	14013
P03_05_D	16485	16078	16043
P01_05_E	10007	7743	7601
P03_08_D	29626	29163	29160
P01_03_E	13969	10670	10283
P01_09_H	59296	58193	57975
P01_05_F	9409	7541	7373
P01_06_B	13028	10712	10692
P02_04_D	7027	6522	6459
P01_12_A	7667	6580	4915
P05_01_H	16477	7303	1353
P02_12_E	6345	6064	6054
P03_08_A	94106	92380	92324
P03_11_C	10396	10081	10079
P02_05_B	10496	9633	9416
P05_01_G	13099	12451	12441
P02_07_H	32128	31125	31077
P05_09_A	17445	15911	15812
P05_09_B	10794	9974	9843
P05_07_C	996	821	806
P02_12_F	63966	62801	62775
P01_12_G	69725	68449	68414
P05_05_A	116930	112305	110734
P03_06_G	36775	36233	36182
P02_01_G	54312	53483	53471
P03_10_D	52399	51473	51435
P01_07_A	11834	8852	8774
P05_09_F	4832	4117	4074
P02_06_C	9037	8729	8712
P03_06_C	40308	39555	39520
P05_09_G	25404	24440	24289
P05_07_B	7569	7225	7211
P01_08_B	15420	12793	11562
P05_08_E	1389	905	885
P05_02_D	14304	11919	11747
P05_06_D	7394	6960	6955
P01_08_F	28215	25210	9955
P03_03_H	32305	31566	31527
P02_10_D	44058	43405	43396
P01_12_H	94174	92493	92433
P02_07_G	15993	15557	15548
P03_10_F	17753	17261	17254
P02_05_C	23848	22856	22635
P01_11_F	36443	35279	35225
P01_06_D	16795	15156	14718
P01_09_B	24642	22438	7687
P01_03_A	5497	4159	4098
P02_06_G	45797	44374	44203
P02_03_B	21412	20345	20215
P05_08_A	7093	6256	6226
P01_10_G	110501	108274	108169
P03_12_H	5480	2497	173
P02_01_D	72809	71431	71407
P01_01_B	27446	23811	23642
P01_06_G	12893	8177	8127
P05_02_A	5052	3139	2778
P01_06_C	4827	3978	3927
P02_11_G	127000	125119	125067
P03_01_A	4072	2986	2955
P03_03_F	13371	12638	12606
P02_03_E	21445	20127	20040
P05_10_E	1034	97	24
P01_07_E	15468	14181	3645
P02_04_H	19932	19296	19228
P02_08_G	18342	17933	17891
P02_02_F	8576	7593	7258
P01_11_G	46166	44398	44356
P05_04_A	117180	115315	115181
P01_09_E	5372	858	290
P02_02_C	38717	37968	37128
P02_02_D	8298	7754	7733
P03_03_D	31122	30387	30380
P05_02_C	59838	58199	58083
P03_11_A	47260	46325	46264
P03_03_C	14956	14657	14652
P01_02_F	41122	37091	36664
P02_08_B	29086	27814	27413
P01_02_B	25755	23866	23575
P01_11_E	13382	12242	12121
P05_07_A	19289	18351	18316
P01_12_E	9332	7238	7200
P01_10_F	8418	7960	7912
P05_04_B	23243	22593	22531
P05_06_G	12017	11500	11342
P05_06_C	4854	4478	4441
P05_05_C	16235	15762	15741
P03_04_A	4487	3974	3971
P01_04_F	16973	12743	11960
P03_07_G	24964	24585	24583
P02_09_G	28898	28407	28402
P02_04_B	10307	8542	8085
P03_02_D	34201	33327	33305
P03_01_B	12885	11310	11001
P05_03_D	11026	10633	10627
P05_01_D	26320	25700	25689
P03_08_G	88236	86907	86904
P05_03_A	33571	32881	32871
P02_07_F	11781	11300	11278
P02_07_B	7528	6704	6459
P03_02_B	9189	8146	8131
P02_09_D	108047	106251	106218
P05_02_B	16777	15952	15938
P05_02_F	16064	15250	14999
P01_06_F	10319	8110	7523
P02_01_A	5884	4854	4799
P03_09_F	13489	13129	13089
P01_01_G	116754	113982	113948
P05_08_B	2080	1548	1525
P03_11_D	51314	50382	50361
P02_06_D	5705	5554	5543
P05_09_H	6399	5565	5258
P03_02_F	40802	39669	39654
P02_01_H	87329	86038	85964
P05_04_D	15955	15511	15457
P03_08_H	53054	52317	52276
P01_07_B	9225	6023	5935
P03_07_D	76918	75620	75612
P02_05_D	10493	9961	9688
P02_05_F	14272	13330	12967
P03_10_B	84373	82623	82549
P03_06_A	3914	3010	3008
P02_11_A	76990	75899	75879
P03_02_G	86419	84701	84685
P02_03_G	26813	26073	26020
P02_09_C	93251	91690	87781
P02_08_C	30026	29459	29447
P01_08_E	27167	25043	13698
P02_09_B	9119	8697	7892
P03_06_D	30833	30201	30171
P03_07_C	16886	16538	16529
P03_01_F	13467	11068	10983
P03_01_C	15540	14667	14628
P03_06_F	26625	26223	26198
P02_11_H	5634	4939	4732
P03_03_B	56654	55509	55498
P03_09_E	39463	38814	38788
P02_08_F	29690	29108	29070
P05_06_B	26221	24582	24524
P01_03_H	93077	89949	89943
